!Xóõ	k o
'k	ə k
'r	ə ɹ
's	s
's-gravelandseveer	ˈs x ɹ a v ə ˌl ɑ n t s ə ˌv e ɹ
's-gravenhaags	ˌs x ɹ a v ə n ˈh a x s
's-gravenhage	ˌs x ɹ aː v ə n ˈh aː ɣ ə
's-hertogenbosch	ˌs ɛ ɹ t o ɣ ə m ˈb ɔ s
't	ə t
-aar	ə n
-aat	a t
-abel	ˈa b ə l
-baar	b a ɹ
-d	d
-der	d ə ɹ
-e	ə
-e-	ə
-ees	e s
-el	ə l
-emie	e ˈm i
-en	ə n
-en-	ə
-enis	n ə s
-er	ə ɹ
-er-	ə ɹ
-erwijs	ə ɹ ˈw ɛ ɪ s
-es	x
-eut	ə n
-heid	h ɛ ɪ t
-icum	i k ʏ m
-ine	ˈi n ə
-ing	ɪ ŋ
-isme	ˈi s m ə
-ium	i j ʏ m
-jes	c ə s
-ling	l ɪ ŋ
-loog	l o x
-loos	l o s
-n-	n
-nis	n ə s
-o	o
-o-	o
-proof	p ɹ u f
-s	s
-s-	s
-schap	s x ɑ p
-sel	s ə l
-st	s t
-ste	s t ə
-t	t
-te	t ə
-zaam	z a m
//ani	ˈk a n i
//gana	ˈɡ a n a
//xegwi	ˈk ɛ ɡ w i
/gwi	d w i
/xam	t ɑ m
0-jarig	ˈn ʏ l j a ɹ ə x
0-jarige	ˈn ʏ l j a ɹ ə ɣ ə
06-nummer	n ʏ l ˈz ɛ s n ʏ m ə ɹ
1-jarig	ˈe n j a ɹ ə x
1-jarige	ˈe n j a ɹ ə ɣ ə
10-jaarlijks	ˈt i n j a ɹ l ə k s
10-jaarlijkse	ˈt i n j a ɹ l ə k s ə
10-jarig	ˈt i n j a ɹ ə x
10-jarige	ˈt i n j a ɹ ə ɣ ə
100-jarig	ˌh ɔ n d ə ɹ t ˈj a ɹ ə x
100-jarige	ˈh ɔ n d ə ɹ t ˌj a ɹ ə ɣ ə
100-jarigen	ˌh ɔ n d ə ɹ t ˈj a ɹ ə ɣ ə n
100-jarigs	ˌh ɔ n d ə ɹ t ˈj a ɹ ə x s
1000-jarig	ˈd œː y z ə n t ˌj a ɹ ə x
101-jarig	ˌh ɔ n d ə ɹ t ˈe n j a ɹ ə x
101-jarige	ˌh ɔ n d ə ɹ t ˈe n j a ɹ ə ɣ ə
102-jarig	ˌh ɔ n d ə ɹ ˈt w e j a ɹ ə x
102-jarige	ˌh ɔ n d ə ɹ ˈt w e j a ɹ ə ɣ ə
103-jarig	ˌh ɔ n d ə ɹ ˈd ɹ i j a ɹ ə x
103-jarige	ˌh ɔ n d ə ɹ ˈd ɹ i j a ɹ ə ɣ ə
104-jarig	ˌh ɔ n d ə ɹ t ˈf i ɹ j a ɹ ə x
104-jarige	ˌh ɔ n d ə ɹ t ˈf i ɹ j a ɹ ə ɣ ə
105-jarig	ˌh ɔ n d ə ɹ t ˈf ɛi f j a ɹ ə x
105-jarige	ˌh ɔ n d ə ɹ t ˈf ɛi f j a ɹ ə ɣ ə
106-jarig	ˌh ɔ n d ə ɹ t ˈs ɛ s j a ɹ ə x
106-jarige	ˌh ɔ n d ə ɹ t ˈs ɛ s j a ɹ ə ɣ ə
107-jarig	ˌh ɔ n d ə ɹ t ˈs e v ə n ˌj a ɹ ə x
107-jarige	ˌh ɔ n d ə ɹ t ˈs e v ə n ˌj a ɹ ə ɣ ə
108-jarig	ˌh ɔ n d ə ɹ t ˈɑ x t j a ɹ ə x
108-jarige	ˌh ɔ n d ə ɹ t ˈɑ x t j a ɹ ə ɣ ə
109-jarig	ˌh ɔ n d ə ɹ t ˈn e ɣ ə n ˌj a ɹ ə x
109-jarige	ˌh ɔ n d ə ɹ t ˈn e ɣ ə n ˌj a ɹ ə ɣ ə
11-jaarlijks	ˈɛ l s u p ə
11-jaarlijkse	ˈɛ l s u p ə
11-jarig	ˈɛ l s u p ə
11-jarige	ˈɛ l s u p ə
110-jarig	ˌh ɔ n d ə ɹ ˈt i n j a ɹ ə x
110-jarige	ˌh ɔ n d ə ɹ ˈt i n j a ɹ ə ɣ ə
111-jarig	ˌh ɔ n d ə ɹ t ˈɛ l s u p ə
111-jarige	ˌh ɔ n d ə ɹ t ˈɛ l s u p ə
112-jarig	ˌh ɔ n d ə ɹ ˈt w a l s u p ə
112-jarige	ˌh ɔ n d ə ɹ ˈt w a l s u p ə
113-jarig	ˌh ɔ n d ə ɹ ˈd ɛ ɹ t i n ˌj a ɹ ə x
113-jarige	ˌh ɔ n d ə ɹ ˈd ɛ ɹ t i n ˌj a ɹ ə ɣ ə
